"user_type","avg_temp","precipitation","total_trips"
"Subscriber",76,"0","8519"
"Subscriber",74,"0","7477"
"Subscriber",73,"0","7275"
"Subscriber",75,"0","6990"
"Subscriber",79,"0","5644"
"Subscriber",80,"0","5614"
"Subscriber",67,"0","5483"
"Subscriber",81,"0","5192"
"Subscriber",58,"0","5143"
"Subscriber",52,"0","4448"
"Subscriber",51,"0","4207"
"Subscriber",71,"0","4159"
"Subscriber",63,"0","4125"
"Subscriber",77,"0","4012"
"Subscriber",53,"0","3886"
"Subscriber",45,"0","3814"
"Subscriber",48,"0","3790"
"Subscriber",65,"0","3531"
"Subscriber",49,"0","3448"
"Subscriber",61,"0","3413"
"Subscriber",69,"0","3340"
"Subscriber",57,"0","2973"
"Subscriber",56,"0","2844"
"Subscriber",54,"0","2801"
"Subscriber",40,"0","2669"
"Subscriber",84,"0","2639"
"Subscriber",39,"0","2629"
"Subscriber",59,"0","2458"
"Subscriber",87,"0","2442"
"Subscriber",43,"0","2378"
"Subscriber",70,"0","2252"
"Subscriber",72,"0","2242"
"Subscriber",75,"0.01","2145"
"Subscriber",78,"0","2087"
"Subscriber",83,"0","2070"
"Subscriber",62,"0","2037"
"Subscriber",60,"0","2028"
"Subscriber",38,"0","1998"
"Subscriber",85,"0.01","1865"
"Subscriber",35,"0","1828"
"Subscriber",82,"0","1813"
"Subscriber",44,"0","1736"
"Subscriber",32,"0","1677"
"Subscriber",68,"0","1650"
"Subscriber",47,"0","1524"
"Subscriber",64,"0","1325"
"Subscriber",36,"0","1291"
"Subscriber",89,"0","1274"
"Subscriber",69,"0.12","1228"
"Subscriber",28,"0","1204"
"Subscriber",82,"0.2","1188"
"Subscriber",85,"0","1164"
"Subscriber",60,"0.01","1153"
"Subscriber",80,"0.1","1146"
"Subscriber",78,"0.01","1146"
"Subscriber",61,"0.04","1123"
"Subscriber",81,"0.11","1100"
"Subscriber",86,"0.11","1035"
"Subscriber",84,"0.17","1021"
"Subscriber",55,"0","978"
"Subscriber",50,"0","951"
"Subscriber",51,"0.03","924"
"Subscriber",75,"0.21","885"
"Subscriber",81,"0.12","863"
"Subscriber",68,"0.44","861"
"Subscriber",83,"0.01","854"
"Subscriber",77,"0.14","824"
"Subscriber",46,"0","822"
"Subscriber",73,"0.39","811"
"Subscriber",29,"0","807"
"Subscriber",37,"0","800"
"Subscriber",75,"0.37","788"
"Subscriber",68,"0.22","783"
"Subscriber",86,"0","781"
"Subscriber",77,"0.17","781"
"Subscriber",52,"0.11","772"
"Subscriber",33,"0","771"
"Subscriber",81,"0.05","756"
"Subscriber",65,"0.01","755"
"Subscriber",83,"0.23","738"
"Subscriber",79,"0.09","733"
"Subscriber",31,"0","725"
"Customer",75,"0","718"
"Subscriber",55,"0.2","716"
"Subscriber",77,"0.87","709"
"Subscriber",53,"0.2","699"
"Subscriber",42,"0.05","699"
"Subscriber",74,"1.03","696"
"Customer",71,"0","687"
"Subscriber",75,"0.2","682"
"Subscriber",63,"0.51","681"
"Customer",74,"0","672"
"Subscriber",65,"0.05","656"
"Subscriber",84,"1.84","653"
"Subscriber",43,"0.16","635"
"Customer",81,"0","634"
"Customer",80,"0","618"
"Subscriber",41,"0","617"
"Subscriber",34,"0","616"
"Subscriber",42,"0.44","605"
"Subscriber",58,"0.1","600"
"Subscriber",65,"0.03","588"
"Subscriber",63,"0.17","586"
"Subscriber",27,"0","586"
"Subscriber",50,"0.14","582"
"Customer",73,"0","574"
"Subscriber",21,"0","567"
"Subscriber",53,"0.01","567"
"Subscriber",76,"0.71","566"
"Subscriber",52,"0.01","563"
"Subscriber",25,"0","546"
"Subscriber",82,"0.57","541"
"Subscriber",38,"0.5","540"
"Subscriber",66,"0","540"
"Subscriber",80,"0.13","529"
"Customer",79,"0","529"
"Subscriber",56,"1.07","527"
"Subscriber",62,"0.29","526"
"Subscriber",69,"0.49","526"
"Subscriber",65,"0.92","522"
"Subscriber",20,"0","518"
"Subscriber",54,"0.03","516"
"Subscriber",78,"0.36","515"
"Subscriber",74,"0.46","501"
"Subscriber",45,"0.65","500"
"Subscriber",51,"0.01","496"
"Subscriber",64,"0.03","493"
"Subscriber",42,"0","484"
"Customer",58,"0","475"
"Subscriber",59,"0.31","474"
"Subscriber",53,"0.09","468"
"Subscriber",72,"0.01","466"
"Subscriber",60,"0.04","452"
"Subscriber",57,"0.11","432"
"Customer",56,"0","428"
"Subscriber",56,"0.13","427"
"Subscriber",54,"0.55","425"
"Subscriber",75,"1.57","422"
"Subscriber",54,"0.59","419"
"Subscriber",48,"0.01","411"
"Subscriber",52,"2.79","410"
"Subscriber",67,"0.04","398"
"Subscriber",80,"0.03","398"
"Subscriber",52,"0.1","391"
"Subscriber",54,"0.01","370"
"Subscriber",69,"0.94","370"
"Subscriber",60,"0.48","368"
"Subscriber",31,"0.01","366"
"Subscriber",54,"0.05","366"
"Subscriber",53,"2.02","359"
"Subscriber",62,"0.08","358"
"Subscriber",56,"0.11","357"
"Subscriber",47,"0.12","355"
"Customer",72,"0","353"
"Subscriber",45,"0.02","346"
"Customer",52,"0","343"
"Customer",54,"0","335"
"Customer",76,"0","332"
"Subscriber",52,"0.62","331"
"Subscriber",42,"0.23","327"
"Subscriber",35,"0.02","301"
"Subscriber",30,"0.01","298"
"Subscriber",48,"0.38","296"
"Subscriber",37,"0.02","296"
"Subscriber",39,"0.27","295"
"Subscriber",31,"0.02","294"
"Subscriber",26,"0.03","292"
"Subscriber",58,"0.16","280"
"Customer",82,"0","278"
"Subscriber",44,"0.01","268"
"Subscriber",38,"0.36","266"
"Subscriber",19,"0","266"
"Subscriber",51,"0.08","263"
"Subscriber",48,"0.61","261"
"Subscriber",47,"0.26","258"
"Subscriber",42,"0.07","253"
"Subscriber",41,"0.44","252"
"Customer",74,"0.46","241"
"Customer",67,"0","240"
"Customer",87,"0","239"
"Subscriber",33,"0.12","237"
"Subscriber",39,"0.07","237"
"Customer",80,"0.03","233"
"Subscriber",43,"0.99","222"
"Subscriber",48,"0.52","208"
"Customer",53,"0","197"
"Subscriber",53,"1.77","194"
"Subscriber",40,"0.09","193"
"Subscriber",43,"0.03","188"
"Customer",62,"0","188"
"Customer",45,"0","183"
"Customer",61,"0","183"
"Subscriber",38,"0.48","176"
"Subscriber",49,"0.21","176"
"Customer",60,"0.04","174"
"Subscriber",42,"1.02","170"
"Subscriber",41,"0.49","168"
"Customer",43,"0","161"
"Subscriber",38,"0.07","159"
"Customer",67,"0.04","158"
"Customer",89,"0","157"
"Customer",51,"0","157"
"Customer",68,"0","154"
"Customer",77,"0","153"
"Subscriber",27,"0.03","152"
"Customer",66,"0","146"
"Customer",60,"0","142"
"Customer",70,"0","139"
"Customer",79,"0.09","138"
"Customer",84,"0","128"
"Customer",75,"1.57","128"
"Customer",72,"0.01","124"
"Customer",57,"0","118"
"Customer",63,"0","118"
"Subscriber",29,"0.71","114"
"Customer",64,"0","113"
"Customer",65,"0","111"
"Customer",48,"0","107"
"Customer",68,"0.44","103"
"Customer",83,"0","103"
"Customer",69,"0","101"
"Customer",46,"0","100"
"Customer",47,"0","99"
"Customer",65,"0.92","99"
"Subscriber",42,"0.01","93"
"Customer",75,"0.01","92"
"Customer",82,"0.2","89"
"Customer",37,"0","88"
"Subscriber",18,"0.42","88"
"Customer",80,"0.13","87"
"Customer",83,"0.01","85"
"Customer",59,"0","85"
"Customer",50,"0","83"
"Customer",69,"0.49","81"
"Customer",80,"0.1","80"
"Customer",85,"0.01","78"
"Customer",76,"0.71","77"
"Customer",85,"0","75"
"Customer",49,"0","75"
"Customer",36,"0","69"
"Customer",78,"0.01","67"
"Customer",78,"0","66"
"Customer",58,"0.1","64"
"Customer",86,"0","64"
"Customer",56,"0.11","63"
"Customer",40,"0","63"
"Customer",77,"0.87","60"
"Customer",78,"0.36","60"
"Customer",52,"0.1","59"
"Customer",53,"0.2","58"
"Subscriber",8,"0","58"
"Customer",86,"0.11","54"
"Customer",84,"0.17","52"
"Customer",65,"0.01","50"
"Customer",44,"0","50"
"Customer",82,"0.57","48"
"Customer",69,"0.94","47"
"Customer",57,"0.11","45"
"Customer",62,"0.08","44"
"Customer",63,"0.17","43"
"Customer",75,"0.37","43"
"Customer",38,"0","42"
"Customer",51,"0.08","41"
"Customer",77,"0.14","41"
"Customer",64,"0.03","39"
"Customer",77,"0.17","39"
"Customer",69,"0.12","39"
"Customer",35,"0","39"
"Customer",51,"0.03","39"
"Customer",39,"0.07","36"
"Customer",58,"0.16","36"
"Customer",81,"0.11","35"
"Customer",65,"0.03","33"
"Customer",73,"0.39","32"
NULL,73,"0","30"
"Customer",83,"0.23","30"
"Customer",32,"0","30"
"Customer",33,"0","30"
"Customer",47,"0.26","30"
"Customer",75,"0.21","29"
NULL,71,"0","28"
"Customer",75,"0.2","27"
"Customer",65,"0.05","27"
"Customer",39,"0","26"
"Customer",81,"0.05","26"
"Customer",44,"0.01","26"
"Customer",60,"0.01","25"
"Customer",62,"0.29","24"
"Customer",84,"1.84","23"
"Customer",41,"0","21"
"Customer",81,"0.12","20"
NULL,52,"0","19"
"Customer",50,"0.14","19"
"Customer",55,"0","19"
"Customer",51,"0.01","18"
"Customer",60,"0.48","16"
"Customer",43,"0.03","15"
"Customer",68,"0.22","15"
NULL,79,"0","15"
NULL,49,"0","15"
"Customer",42,"0","15"
NULL,61,"0.04","14"
"Customer",21,"0","14"
"Customer",28,"0","13"
"Customer",53,"0.01","13"
NULL,68,"0.44","13"
NULL,80,"0","12"
"Customer",55,"0.2","12"
"Customer",54,"0.59","12"
"Customer",63,"0.51","12"
"Customer",53,"1.77","12"
"Customer",52,"0.01","11"
NULL,77,"0","11"
"Customer",52,"0.11","11"
NULL,75,"0","10"
"Customer",49,"0.21","10"
"Customer",52,"2.79","10"
"Customer",42,"0.05","10"
"Customer",48,"0.01","10"
"Customer",54,"0.55","9"
NULL,45,"0","9"
"Customer",48,"0.38","9"
"Customer",45,"0.02","9"
"Customer",54,"0.03","9"
NULL,68,"0","9"
"Customer",40,"0.09","8"
"Customer",27,"0.03","8"
"Customer",54,"0.01","8"
"Customer",37,"0.02","7"
"Customer",52,"0.62","7"
"Customer",61,"0.04","7"
NULL,75,"0.01","7"
"Customer",19,"0","7"
"Customer",27,"0","7"
NULL,56,"0","7"
NULL,53,"0.2","7"
"Customer",34,"0","7"
NULL,41,"0.49","7"
"Customer",53,"0.09","7"
NULL,62,"0","6"
"Customer",56,"1.07","6"
"Customer",54,"0.05","6"
"Customer",48,"0.61","6"
"Customer",42,"0.44","6"
NULL,43,"0","6"
NULL,48,"0","6"
NULL,58,"0","6"
"Customer",74,"1.03","6"
NULL,67,"0","6"
NULL,83,"0.01","6"
"Customer",48,"0.52","5"
NULL,60,"0","5"
NULL,42,"0.23","5"
"Customer",38,"0.07","5"
"Customer",33,"0.12","5"
"Customer",53,"2.02","5"
NULL,53,"0","5"
"Customer",31,"0","5"
"Customer",47,"0.12","4"
NULL,70,"0","4"
"Customer",43,"0.16","4"
NULL,59,"0.31","4"
NULL,81,"0","4"
"Customer",59,"0.31","4"
NULL,31,"0","4"
NULL,20,"0","4"
NULL,76,"0","4"
NULL,38,"0","4"
"Customer",35,"0.02","4"
"Customer",18,"0.42","3"
"Customer",25,"0","3"
NULL,74,"0","3"
"Customer",41,"0.44","3"
"Customer",56,"0.13","3"
NULL,48,"0.01","3"
NULL,41,"0","3"
NULL,54,"0","3"
NULL,51,"0","3"
NULL,57,"0","3"
NULL,68,"0.22","3"
"Customer",42,"0.23","3"
NULL,63,"0","3"
NULL,42,"0.07","3"
NULL,60,"0.48","3"
NULL,59,"0","3"
"Customer",31,"0.02","3"
NULL,63,"0.17","2"
"Customer",20,"0","2"
NULL,25,"0","2"
NULL,29,"0.71","2"
NULL,34,"0","2"
NULL,39,"0","2"
NULL,44,"0","2"
"Customer",38,"0.36","2"
NULL,46,"0","2"
"Customer",8,"0","2"
NULL,53,"0.09","2"
NULL,54,"0.55","2"
NULL,55,"0","2"
NULL,89,"0","2"
NULL,61,"0","2"
NULL,64,"0","2"
NULL,65,"0","2"
NULL,65,"0.92","2"
NULL,66,"0","2"
"Customer",45,"0.65","2"
NULL,78,"0.01","2"
NULL,80,"0.1","2"
"Customer",29,"0","2"
"Customer",42,"0.07","1"
NULL,58,"0.16","1"
NULL,69,"0","1"
NULL,57,"0.11","1"
NULL,38,"0.36","1"
NULL,56,"0.13","1"
"Customer",41,"0.49","1"
NULL,55,"0.2","1"
NULL,51,"0.01","1"
NULL,75,"0.21","1"
"Customer",38,"0.48","1"
NULL,48,"0.38","1"
NULL,78,"0","1"
"Customer",31,"0.01","1"
NULL,83,"0","1"
NULL,43,"0.16","1"
NULL,40,"0","1"
NULL,62,"0.29","1"
"Customer",26,"0.03","1"
NULL,80,"0.13","1"
NULL,43,"0.03","1"
NULL,81,"0.05","1"
"Customer",30,"0.01","1"
NULL,87,"0","1"
NULL,84,"1.84","1"
